,FIPS,Combined_Key,Flagged Dates,Value Day 1,Value Day 2
0,72.0,"Puerto Rico, US",4/22/20,1298,1252
1,72.0,"Puerto Rico, US",4/24/20,1416,1276
2,1001.0,"Autauga, Alabama, US",4/18/20,26,25
3,1007.0,"Bibb, Alabama, US",4/23/20,34,33
4,1011.0,"Bullock, Alabama, US",4/2/20,3,2
5,1013.0,"Butler, Alabama, US",4/18/20,16,13
6,1015.0,"Calhoun, Alabama, US",4/27/20,91,90
7,1017.0,"Chambers, Alabama, US",3/21/20,2,1
8,1019.0,"Cherokee, Alabama, US",4/23/20,13,12
9,1025.0,"Clarke, Alabama, US",4/24/20,25,24
10,1031.0,"Coffee, Alabama, US",3/27/20,1,0
11,1035.0,"Conecuh, Alabama, US",4/10/20,4,3
12,1035.0,"Conecuh, Alabama, US",4/20/20,10,9
13,1043.0,"Cullman, Alabama, US",4/18/20,53,42
14,1043.0,"Cullman, Alabama, US",4/22/20,45,44
15,1047.0,"Dallas, Alabama, US",4/11/20,11,10
16,1047.0,"Dallas, Alabama, US",4/23/20,30,29
17,1053.0,"Escambia, Alabama, US",4/12/20,9,8
18,1053.0,"Escambia, Alabama, US",4/15/20,10,9
19,1053.0,"Escambia, Alabama, US",4/18/20,14,12
20,1057.0,"Fayette, Alabama, US",4/20/20,4,3
21,1059.0,"Franklin, Alabama, US",4/18/20,18,17
22,1061.0,"Geneva, Alabama, US",4/10/20,1,0
23,1069.0,"Houston, Alabama, US",4/1/20,9,8
24,1069.0,"Houston, Alabama, US",4/18/20,64,63
25,1069.0,"Houston, Alabama, US",4/24/20,78,76
26,1075.0,"Lamar, Alabama, US",4/14/20,8,7
27,1075.0,"Lamar, Alabama, US",4/22/20,9,8
28,1077.0,"Lauderdale, Alabama, US",4/28/20,31,30
29,1079.0,"Lawrence, Alabama, US",3/27/20,3,2
30,1083.0,"Limestone, Alabama, US",4/7/20,33,32
31,1083.0,"Limestone, Alabama, US",4/22/20,40,39
32,1087.0,"Macon, Alabama, US",4/23/20,28,27
33,1089.0,"Madison, Alabama, US",3/15/20,1,0
34,1089.0,"Madison, Alabama, US",4/18/20,217,197
35,1089.0,"Madison, Alabama, US",4/24/20,205,202
36,1091.0,"Marengo, Alabama, US",3/31/20,5,4
37,1091.0,"Marengo, Alabama, US",4/23/20,40,38
38,1093.0,"Marion, Alabama, US",3/31/20,10,9
39,1093.0,"Marion, Alabama, US",4/18/20,61,60
40,1093.0,"Marion, Alabama, US",4/30/20,76,75
41,1095.0,"Marshall, Alabama, US",4/1/20,7,6
42,1097.0,"Mobile, Alabama, US",3/21/20,3,2
43,1099.0,"Monroe, Alabama, US",4/27/20,12,11
44,1103.0,"Morgan, Alabama, US",4/1/20,20,19
45,1103.0,"Morgan, Alabama, US",4/14/20,42,41
46,1103.0,"Morgan, Alabama, US",4/18/20,46,45
47,1103.0,"Morgan, Alabama, US",4/23/20,52,50
48,1105.0,"Perry, Alabama, US",4/8/20,1,0
49,1107.0,"Pickens, Alabama, US",4/27/20,48,47
50,1111.0,"Randolph, Alabama, US",4/23/20,60,58
51,1113.0,"Russell, Alabama, US",4/24/20,54,53
52,1115.0,"St. Clair, Alabama, US",4/7/20,31,30
53,1119.0,"Sumter, Alabama, US",4/4/20,7,6
54,1123.0,"Tallapoosa, Alabama, US",4/20/20,195,193
55,1125.0,"Tuscaloosa, Alabama, US",4/18/20,152,141
56,1127.0,"Walker, Alabama, US",4/17/20,84,83
57,1127.0,"Walker, Alabama, US",4/22/20,91,90
58,1127.0,"Walker, Alabama, US",4/23/20,90,89
59,1129.0,"Washington, Alabama, US",3/31/20,4,3
60,2090.0,"Fairbanks North Star,Alaska,US",3/27/20,11,10
61,4001.0,"Apache, Arizona, US",3/31/20,17,16
62,4003.0,"Cochise, Arizona, US",4/14/20,16,15
63,4005.0,"Coconino, Arizona, US",4/15/20,270,266
64,4007.0,"Gila, Arizona, US",4/24/20,12,11
65,4009.0,"Graham, Arizona, US",3/28/20,4,2
66,4009.0,"Graham, Arizona, US",4/5/20,3,2
67,4009.0,"Graham, Arizona, US",4/25/20,7,6
68,4012.0,"La Paz, Arizona, US",4/25/20,8,7
69,4021.0,"Pinal, Arizona, US",3/31/20,64,62
70,4025.0,"Yavapai, Arizona, US",3/29/20,13,12
71,4025.0,"Yavapai, Arizona, US",4/15/20,70,66
72,4025.0,"Yavapai, Arizona, US",4/20/20,72,71
73,4027.0,"Yuma, Arizona, US",4/5/20,14,13
74,4027.0,"Yuma, Arizona, US",4/11/20,16,15
75,5007.0,"Benton, Arkansas, US",4/6/20,43,42
76,5007.0,"Benton, Arkansas, US",4/16/20,62,61
77,5019.0,"Clark, Arkansas, US",3/24/20,7,6
78,5019.0,"Clark, Arkansas, US",3/29/20,18,17
79,5019.0,"Clark, Arkansas, US",4/13/20,27,26
80,5019.0,"Clark, Arkansas, US",4/26/20,29,28
81,5019.0,"Clark, Arkansas, US",4/27/20,28,27
82,5023.0,"Cleburne, Arkansas, US",4/5/20,65,64
83,5045.0,"Faulkner, Arkansas, US",4/13/20,59,57
84,5047.0,"Franklin, Arkansas, US",4/15/20,2,1
85,5051.0,"Garland, Arkansas, US",4/18/20,107,106
86,5055.0,"Greene, Arkansas, US",4/19/20,9,8
87,5057.0,"Hempstead, Arkansas, US",3/28/20,1,0
88,5057.0,"Hempstead, Arkansas, US",4/14/20,5,4
89,5061.0,"Howard, Arkansas, US",4/23/20,14,13
90,5071.0,"Johnson, Arkansas, US",4/15/20,19,16
91,5071.0,"Johnson, Arkansas, US",4/28/20,30,29
92,5073.0,"Lafayette, Arkansas, US",4/18/20,5,4
93,5075.0,"Lawrence, Arkansas, US",3/25/20,1,0
94,5079.0,"Lincoln, Arkansas, US",4/9/20,11,10
95,5085.0,"Lonoke, Arkansas, US",4/13/20,30,29
96,5085.0,"Lonoke, Arkansas, US",4/19/20,30,26
97,5125.0,"Saline, Arkansas, US",4/9/20,33,31
98,5139.0,"Union, Arkansas, US",4/13/20,18,17
99,5141.0,"Van Buren, Arkansas, US",3/31/20,20,19
100,6003.0,"Alpine, California, US",4/20/20,2,1
101,6005.0,"Amador, California, US",4/5/20,3,0
102,6019.0,"Fresno, California, US",3/13/20,2,1
103,6041.0,"Marin, California, US",4/12/20,154,153
104,6055.0,"Napa, California, US",3/12/20,1,0
105,6057.0,"Nevada, California, US",4/23/20,38,36
106,6061.0,"Placer, California, US",3/13/20,7,4
107,6061.0,"Placer, California, US",3/15/20,7,5
108,6085.0,"Santa Clara, California, US",3/15/20,95,91
109,6093.0,"Siskiyou, California, US",3/31/20,4,3
110,6097.0,"Sonoma, California, US",3/14/20,3,1
111,6097.0,"Sonoma, California, US",3/17/20,5,4
112,6097.0,"Sonoma, California, US",3/19/20,8,6
113,6101.0,"Sutter, California, US",4/14/20,37,23
114,6101.0,"Sutter, California, US",4/28/20,45,29
115,6109.0,"Tuolumne, California, US",4/8/20,2,1
116,6111.0,"Ventura, California, US",3/16/20,5,4
117,6115.0,"Yuba, California, US",3/25/20,3,0
118,8007.0,"Archuleta, Colorado, US",4/23/20,9,8
119,8013.0,"Boulder, Colorado, US",3/14/20,1,0
120,8014.0,"Broomfield, Colorado, US",3/21/20,2,1
121,8029.0,"Delta, Colorado, US",3/29/20,2,1
122,8037.0,"Eagle, Colorado, US",4/17/20,480,479
123,8039.0,"Elbert, Colorado, US",4/16/20,17,16
124,8049.0,"Grand, Colorado, US",3/21/20,3,2
125,8051.0,"Gunnison, Colorado, US",3/12/20,5,3
126,8051.0,"Gunnison, Colorado, US",4/13/20,101,99
127,8063.0,"Kit Carson, Colorado, US",3/29/20,2,1
128,8067.0,"La Plata, Colorado, US",4/21/20,52,51
129,8073.0,"Lincoln, Colorado, US",4/27/20,4,3
130,8077.0,"Mesa, Colorado, US",4/2/20,16,14
131,8077.0,"Mesa, Colorado, US",4/16/20,35,34
132,8081.0,"Moffat, Colorado, US",4/4/20,4,3
133,8087.0,"Morgan, Colorado, US",3/31/20,5,4
134,8097.0,"Pitkin, Colorado, US",4/22/20,58,57
135,8107.0,"Routt, Colorado, US",4/29/20,55,54
136,8111.0,"San Juan, Colorado, US",4/27/20,1,0
137,8117.0,"Summit, Colorado, US",3/16/20,2,1
138,8117.0,"Summit, Colorado, US",3/26/20,10,9
139,8117.0,"Summit, Colorado, US",3/29/20,13,11
140,8117.0,"Summit, Colorado, US",4/7/20,58,53
141,8117.0,"Summit, Colorado, US",4/24/20,105,97
142,8119.0,"Teller, Colorado, US",4/13/20,16,15
143,9015.0,"Windham, Connecticut, US",3/22/20,2,1
144,9015.0,"Windham, Connecticut, US",4/16/20,89,87
145,12001.0,"Alachua, Florida, US",3/14/20,2,1
146,12001.0,"Alachua, Florida, US",4/13/20,215,187
147,12001.0,"Alachua, Florida, US",4/15/20,195,194
148,12017.0,"Citrus, Florida, US",4/15/20,75,74
149,12023.0,"Columbia, Florida, US",4/22/20,43,42
150,12029.0,"Dixie, Florida, US",4/9/20,2,1
151,12029.0,"Dixie, Florida, US",4/27/20,6,5
152,12031.0,"Duval, Florida, US",4/24/20,956,955
153,12041.0,"Gilchrist, Florida, US",4/16/20,6,4
154,12053.0,"Hernando, Florida, US",3/22/20,6,5
155,12053.0,"Hernando, Florida, US",4/23/20,84,83
156,12057.0,"Hillsborough, Florida, US",3/12/20,3,2
157,12057.0,"Hillsborough, Florida, US",3/14/20,3,2
158,12059.0,"Holmes, Florida, US",4/9/20,3,2
159,12061.0,"Indian River, Florida, US",4/18/20,85,83
160,12071.0,"Lee, Florida, US",4/22/20,795,794
161,12073.0,"Leon, Florida, US",4/18/20,174,169
162,12075.0,"Levy, Florida, US",4/13/20,8,7
163,12075.0,"Levy, Florida, US",4/21/20,13,12
164,12087.0,"Monroe, Florida, US",4/29/20,79,78
165,12097.0,"Osceola, Florida, US",4/30/20,479,478
166,12107.0,"Putnam, Florida, US",4/13/20,43,42
167,12109.0,"St. Johns, Florida, US",3/14/20,1,0
168,12113.0,"Santa Rosa, Florida, US",3/18/20,1,0
169,12113.0,"Santa Rosa, Florida, US",4/21/20,140,139
170,12113.0,"Santa Rosa, Florida, US",4/23/20,144,141
171,12115.0,"Sarasota, Florida, US",3/14/20,2,1
172,12117.0,"Seminole, Florida, US",4/29/20,374,373
173,12119.0,"Sumter, Florida, US",4/29/20,177,176
174,12125.0,"Union, Florida, US",4/20/20,3,2
175,12133.0,"Washington, Florida, US",4/18/20,6,5
176,13001.0,"Appling, Georgia, US",3/26/20,1,0
177,13001.0,"Appling, Georgia, US",4/1/20,2,1
178,13003.0,"Atkinson, Georgia, US",4/11/20,4,2
179,13007.0,"Baker, Georgia, US",3/26/20,3,1
180,13007.0,"Baker, Georgia, US",4/18/20,19,16
181,13007.0,"Baker, Georgia, US",4/23/20,20,19
182,13009.0,"Baldwin, Georgia, US",4/18/20,109,108
183,13011.0,"Banks, Georgia, US",4/27/20,18,17
184,13013.0,"Barrow, Georgia, US",4/26/20,111,108
185,13019.0,"Berrien, Georgia, US",4/27/20,16,15
186,13019.0,"Berrien, Georgia, US",4/30/20,18,17
187,13023.0,"Bleckley, Georgia, US",4/20/20,6,5
188,13029.0,"Bryan, Georgia, US",4/9/20,26,25
189,13029.0,"Bryan, Georgia, US",4/11/20,29,28
190,13029.0,"Bryan, Georgia, US",4/14/20,31,30
191,13029.0,"Bryan, Georgia, US",4/21/20,35,34
192,13033.0,"Burke, Georgia, US",4/28/20,77,74
193,13035.0,"Butts, Georgia, US",4/24/20,126,125
194,13037.0,"Calhoun, Georgia, US",4/18/20,60,57
195,13039.0,"Camden, Georgia, US",3/14/20,1,0
196,13039.0,"Camden, Georgia, US",4/20/20,28,27
