FIPS,1.22.2020,1.23.2020,1.24.2020,1.25.2020,1.26.2020,1.27.2020,1.28.2020,1.29.2020,1.30.2020,1.31.2020,2.1.2020,2.2.2020,2.3.2020,2.4.2020,2.5.2020,2.6.2020,2.7.2020,2.8.2020,2.9.2020,2.10.2020,2.11.2020,2.12.2020,2.13.2020,2.14.2020,2.15.2020,2.16.2020,2.17.2020,2.18.2020,2.19.2020,2.20.2020,2.21.2020,2.22.2020,2.23.2020,2.24.2020,2.25.2020,2.26.2020,2.27.2020,2.28.2020,2.29.2020,3.1.2020,3.2.2020,3.3.2020,3.4.2020,3.5.2020,3.6.2020,3.7.2020,3.8.2020,3.9.2020,3.10.2020,3.11.2020,3.12.2020,3.13.2020,3.14.2020,3.15.2020,3.16.2020,3.17.2020,3.18.2020,3.19.2020,3.20.2020,3.21.2020,3.22.2020,3.23.2020,3.24.2020,3.25.2020,3.26.2020,3.27.2020,3.28.2020,3.29.2020,3.30.2020,3.31.2020,4.1.2020,4.2.2020,4.3.2020,4.4.2020,4.5.2020,4.6.2020,4.7.2020,4.8.2020,4.9.2020,4.10.2020,4.11.2020,4.12.2020,4.13.2020,4.14.2020,4.15.2020
36061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,11,12,19,25,55,95,154,269,269,463,814,1871,3954,5151,7530,9654,12305,14904,17856,21873,25573,29776,33768,37453,43119,47439,51809,57159,63306,67551,72181,76876,81803,87028,92384,98308,103208,106763,110465,118302
36119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,18,19,57,83,98,98,121,148,158,172,178,220,380,538,798,1091,1387,1873,2894,3891,4691,5944,7187,7875,8519,9326,9967,10683,11567,12351,13081,13723,14294,14294,15887,17004,18077,18729,19313,19786,20191,20947
17031,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,11,22,27,40,50,50,62,107,178,278,278,548,805,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111,7439,8034,8728,8728,10520,10520,12472,13417,14585,15474,16323,17306
26163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,8,14,14,23,44,67,102,477,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096,6762,7518,8270,9045,9626,10093,10539,10951,11164,11648,12209,12544
6037,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,13,14,14,14,20,27,32,40,53,53,94,144,190,231,292,292,407,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566,4605,5955,6377,6936,7559,7955,8443,8453,8894,9433,10047,10517
34013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,7,20,32,45,63,73,107,172,273,342,381,609,826,1086,1227,1564,1900,2262,2617,3067,3584,4082,4493,5078,5598,6069,6580,7007,7410,7634,8212,8579
34017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,5,5,19,24,34,55,66,97,126,190,234,260,441,594,771,974,1314,1606,1910,2270,2835,3491,3924,4395,4949,5437,5879,6411,6851,7469,7879,8242,8511
12086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13,13,40,76,101,124,169,227,278,338,400,616,763,1003,1192,1632,2123,2202,2886,3364,3890,4146,4481,4997,5354,5745,6119,6487,7058,7459,7712,8066
42101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,10,19,34,44,67,85,96,175,252,342,475,637,803,890,1072,1315,1675,2100,2430,3008,3189,3728,4272,4777,5029,5521,6022,6386,6813,7130,7441
34039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,8,15,26,29,43,81,124,189,246,262,432,519,742,896,1213,1418,1661,2010,2487,2916,3216,3685,4368,4831,5203,5575,5865,6180,6636,7265,7438
34031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,8,10,18,38,49,67,95,141,216,255,399,484,608,831,1091,1294,1494,1750,2216,2856,3227,3756,4104,4372,4690,5017,5295,5590,5950,6438,6750
25017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,15,41,49,60,65,65,83,89,100,119,144,177,199,232,304,446,538,685,842,981,1141,1340,1582,1870,2202,2468,2632,2950,3187,3545,4045,4447,4872,5660,5983,6254,6681
9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,15,15,29,48,69,102,122,122,208,270,384,546,607,752,908,1245,1445,1870,1986,2132,2716,2824,3050,3719,4136,4136,4882,5180,5407,5534,6004,6213,6480
