,FIPS,Lat,Long_,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020
0,17031,41.84144849,-87.81658794,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34,36,35,36,32,35,37,35,40,31,34,38,34,36,37,43,31,25,21,31,36,35,36,22,36,11,22,37,37,31,33,33,32,25,21,36,38,38,28,26,36,46,21,42,37,43,39,42,39,46,36,42,39,37,42,39,45,42,46,41,32
1,17197,41.44619267,-87.97862712,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31,31,32,34,36,28,31,33,33,30,35,41,30,35,38,37,35,34,42,30,21,22,28,34,34,36,26,32,13,25,30,35,24,31,25,34,24,22,32,42,41,26,32,39,40,21,34,29,39,42,38,39,37,33,36,40,39,38,34,44,41,42,44,43
2,17043,41.85116968,-88.08642662,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11,7,33,35,36,39,32,34,38,36,36,35,42,31,21,21,30,34,31,32,24,32,13,20,35,34,30,31,31,32,22,28,35,37,41,27,25,40,46,17,43,35,42,41,40,38,45,33,40,40,38,42,37,45,43,43,42,34
3,01073,33.55554728,-86.89506300000002,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34,22,29,30,25,34,24,35,35,35,35,37,37,30,35,35,NAN,33,34,43,31,37,39,38,39,39,45,31,25,20,31,37,33,32,26,35,21,23,30,38,27,37,32,38,20,25,36,42,45,29,39,44,NAN,29,42,35,40,42,41,42,44,36,40,42,40,37,43,45,46,44,44,45
4,26161,42.253105,-83.83853204,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,36,32,37,39,35,41,32,33,38,34,37,36,43,31,29,22,31,36,33,35,23,39,15,15,35,38,30,35,36,31,26,25,32,36,38,27,28,31,44,29,42,37,39,38,40,37,45,37,40,37,37,41,40,44,43,44,40,29
5,26163,42.28098405,-83.281255,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34,36,35,36,32,35,37,35,40,31,34,38,34,36,37,43,31,25,21,31,36,35,36,22,36,11,22,37,37,31,33,33,32,25,21,36,38,38,28,26,36,46,21,42,37,43,39,42,39,46,36,42,39,37,42,39,45,42,46,41,32
6,36029,42.76249024,-78.73063652,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,32,35,34,35,32,36,38,36,42,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,20,31,34,30,34,26,35,13,16,30,37,29,29,32,31,20,29,31,33,41,25,31,40,44,34,41,31,37,33,38,36,44,37,39,35,35,40,41,43,43,41,38,29
7,25027,42.35026951,-71.90493363,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,36,32,37,39,35,41,32,33,38,34,37,36,43,31,29,22,31,36,33,35,23,39,15,15,35,38,30,35,36,31,26,25,32,36,38,27,28,31,44,29,42,37,39,38,40,37,45,37,40,37,37,41,40,44,43,44,40,29
8,01097,30.78472347,-88.20842409,31,25,32,26,20,31,NAN,NAN,36,29,28,39,NAN,33,NAN,19,33,36,37,28,18,27,31,NAN,40,38,29,22,23,31,34,40,40,26,31,34,39,41,44,49,31,32,40,36,42,41,44,42,33,29,34,25,32,22,32,36,28,31,33,26,30,19,32,40,49,46,38,46,46,37,46,44,49,51,58,74,32,25,44,46,58,44,33,44,50,51,46,38,28,47,46,35
9,25013,42.13440424,-72.63235561,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,30,31,27,34,28,32,33,36,34,35,34,31,33,34,36,37,39,34,34,31,36,34,30,34,38,37,29,22,25,36,30,37,32,35,20,22,32,35,37,34,35,36,31,32,24,34,31,23,27,40,43,32,33,40,38,40,40,36,43,37,36,37,35,38,38,44,40,43,38,34
