FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
17031,17.0,40.0,-18.0,6.0,1.0,1.0,8.0,64.0,118.0,-1.0,-3.0,-3.0,3.0,9.0,29.0,121.0,18.0,16.0,22.0,17.0,15.0,77.0,178.0,-6.0,18.0,10.0,18.0,16.0,-9.0,28.0,-25.0,36.0,-43.0,-41.0,-37.0,-32.0,-40.0,-38.0,-19.0,19.0,-48.0,-47.0,-49.0,-45.0,-34.0,-48.0,-22.0,-12.0,-5.0,-39.0,0.0,-26.0,10.0,-29.0,-42.0,-26.0,-6.0
17115,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
17197,23.0,18.0,-18.0,-4.0,4.0,6.0,0.0,59.0,137.0,-5.0,-7.0,-6.0,8.0,5.0,44.0,133.0,25.0,22.0,40.0,28.0,22.0,92.0,189.0,-1.0,32.0,22.0,36.0,31.0,-1.0,52.0,-8.0,65.0,-25.0,-17.0,-13.0,0.0,-34.0,-25.0,3.0,37.0,-15.0,-16.0,-24.0,-36.0,10.0,-26.0,21.0,48.0,28.0,-20.0,51.0,16.0,44.0,16.0,-22.0,6.0,39.0
17143,4.0,3.0,6.0,5.0,1.0,0.0,15.0,67.0,110.0,1.0,-10.0,-6.0,6.0,0.0,31.0,144.0,28.0,23.0,31.0,24.0,25.0,87.0,168.0,-10.0,12.0,37.0,11.0,20.0,-28.0,10.0,-28.0,24.0,-44.0,-28.0,-21.0,-25.0,-56.0,-24.0,-17.0,14.0,-39.0,-18.0,-44.0,-16.0,74.0,-24.0,48.0,28.0,40.0,-11.0,57.0,18.0,74.0,23.0,-15.0,32.0,23.0
17089,2.0,18.0,-11.0,3.0,-5.0,0.0,5.0,75.0,136.0,1.0,-6.0,-6.0,4.0,0.0,35.0,172.0,31.0,16.0,32.0,28.0,25.0,103.0,226.0,-7.0,35.0,14.0,34.0,39.0,8.0,65.0,-11.0,75.0,-22.0,-11.0,-7.0,31.0,-16.0,-6.0,31.0,71.0,1.0,12.0,-2.0,-20.0,39.0,-13.0,55.0,93.0,77.0,29.0,104.0,33.0,88.0,27.0,-2.0,46.0,74.0
17043,10.0,23.0,-12.0,3.0,2.0,-2.0,6.0,62.0,113.0,1.0,-3.0,-1.0,-1.0,2.0,29.0,129.0,16.0,10.0,21.0,11.0,16.0,80.0,173.0,-7.0,22.0,7.0,13.0,18.0,-12.0,36.0,-24.0,38.0,-41.0,-38.0,-26.0,-3.0,-31.0,-35.0,-14.0,27.0,-39.0,-31.0,-29.0,-42.0,-13.0,-36.0,8.0,22.0,30.0,-13.0,51.0,-7.0,26.0,-9.0,-34.0,2.0,30.0
17201,11.0,8.0,-10.0,20.0,3.0,-13.0,2.0,48.0,66.0,0.0,6.0,4.0,0.0,-7.0,10.0,112.0,6.0,18.0,30.0,12.0,29.0,109.0,162.0,-29.0,62.0,22.0,15.0,15.0,-15.0,19.0,-19.0,76.0,-17.0,-26.0,-20.0,4.0,-32.0,-27.0,47.0,77.0,-17.0,13.0,-25.0,-40.0,42.0,-8.0,86.0,51.0,32.0,24.0,60.0,6.0,NAN,25.0,-11.0,43.0,20.0
17093,9.0,2.0,-30.0,NAN,-16.0,NAN,NAN,NAN,NAN,-7.0,NAN,-18.0,NAN,2.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-9.0,NAN,2.0,NAN,NAN,-8.0,NAN,-21.0,NAN,-18.0,NAN,-13.0,11.0,-23.0,NAN,NAN,NAN,NAN,NAN,-23.0,-25.0,NAN,NAN,NAN,NAN,NAN,6.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
01073,109.0,12.0,23.0,-27.0,-12.0,-42.0,11.0,72.0,-1.0,-33.0,20.0,-11.0,5.0,20.0,92.0,37.0,-28.0,65.0,-36.0,-27.0,30.0,115.0,59.0,57.0,12.0,3.0,44.0,-1.0,98.0,-22.0,24.0,31.0,39.0,17.0,9.0,22.0,-14.0,-44.0,10.0,30.0,21.0,32.0,35.0,7.0,23.0,-27.0,30.0,16.0,26.0,9.0,-20.0,0.0,-36.0,-9.0,2.0,5.0,20.0
26161,8.0,45.0,0.0,-1.0,6.0,1.0,-2.0,87.0,122.0,3.0,-4.0,-14.0,-6.0,-9.0,25.0,35.0,8.0,8.0,13.0,32.0,-15.0,83.0,180.0,31.0,39.0,8.0,28.0,22.0,35.0,137.0,22.0,86.0,16.0,14.0,25.0,85.0,80.0,-10.0,11.0,117.0,36.0,40.0,-5.0,53.0,-5.0,7.0,26.0,143.0,110.0,54.0,130.0,47.0,42.0,108.0,-14.0,-12.0,115.0
