FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
17031,5.0,9.0,2.0,1.0,1.0,0.0,2.0,11.0,11.0,2.0,-1.0,-1.0,4.0,7.0,14.0,17.0,8.0,9.0,8.0,6.0,5.0,14.0,15.0,-1.0,6.0,5.0,6.0,4.0,-8.0,-12.0,-13.0,-24.0,-36.0,-36.0,-36.0,-49.0,-65.0,-53.0,-49.0,-46.0,-51.0,-51.0,-56.0,-58.0,-47.0,-48.0,-44.0,-46.0,-46.0,-54.0,-54.0,-48.0,-45.0,-48.0,-49.0,-48.0,-51.0
17115,1.0,5.0,-2.0,2.0,4.0,4.0,2.0,10.0,9.0,0.0,3.0,3.0,15.0,10.0,18.0,18.0,12.0,18.0,17.0,12.0,9.0,13.0,12.0,2.0,8.0,8.0,7.0,9.0,-11.0,-1.0,-2.0,-20.0,-28.0,-29.0,-23.0,-37.0,-60.0,-43.0,-42.0,-34.0,-35.0,-36.0,-45.0,-43.0,-31.0,-34.0,-27.0,-33.0,-34.0,-42.0,-40.0,-35.0,-32.0,-34.0,-33.0,-31.0,-35.0
17197,3.0,7.0,6.0,0.0,0.0,-1.0,0.0,11.0,13.0,2.0,-3.0,-3.0,3.0,1.0,13.0,16.0,8.0,5.0,6.0,3.0,2.0,14.0,13.0,-1.0,5.0,5.0,8.0,3.0,-5.0,-6.0,-5.0,-20.0,-32.0,-32.0,-32.0,-45.0,-63.0,-49.0,-44.0,-42.0,-46.0,-47.0,-52.0,-54.0,-40.0,-43.0,-40.0,-40.0,-43.0,-49.0,-48.0,-42.0,-39.0,-40.0,-43.0,-41.0,-43.0
17143,7.0,8.0,3.0,-1.0,1.0,1.0,6.0,13.0,13.0,1.0,-3.0,4.0,11.0,10.0,23.0,21.0,13.0,16.0,15.0,11.0,10.0,19.0,14.0,3.0,7.0,8.0,10.0,7.0,-9.0,-9.0,-9.0,-26.0,-35.0,-35.0,-32.0,-46.0,-62.0,-49.0,-47.0,-44.0,-47.0,-46.0,-57.0,-50.0,-37.0,-43.0,-36.0,-41.0,-40.0,-50.0,-46.0,-41.0,-39.0,-43.0,-43.0,-41.0,-46.0
17089,4.0,10.0,8.0,-1.0,-2.0,-3.0,0.0,13.0,17.0,2.0,-3.0,-2.0,3.0,5.0,15.0,23.0,6.0,6.0,6.0,3.0,3.0,18.0,20.0,0.0,8.0,4.0,6.0,3.0,-7.0,-8.0,-10.0,-23.0,-34.0,-36.0,-36.0,-48.0,-66.0,-52.0,-48.0,-46.0,-50.0,-52.0,-56.0,-57.0,-44.0,-46.0,-44.0,-43.0,-46.0,-52.0,-50.0,-45.0,-43.0,-46.0,-46.0,-46.0,-49.0
17043,5.0,12.0,11.0,0.0,0.0,0.0,1.0,11.0,14.0,3.0,-3.0,-3.0,3.0,4.0,11.0,17.0,7.0,5.0,6.0,4.0,4.0,13.0,15.0,0.0,6.0,5.0,6.0,3.0,-12.0,-12.0,-12.0,-26.0,-37.0,-38.0,-36.0,-51.0,-67.0,-54.0,-51.0,-49.0,-53.0,-55.0,-60.0,-60.0,-48.0,-51.0,-49.0,-49.0,-51.0,-58.0,-56.0,-50.0,-49.0,-51.0,-50.0,-51.0,-54.0
17201,13.0,10.0,-3.0,1.0,2.0,-2.0,6.0,18.0,17.0,6.0,3.0,11.0,10.0,11.0,30.0,31.0,13.0,14.0,16.0,7.0,12.0,26.0,25.0,4.0,12.0,11.0,8.0,9.0,4.0,3.0,-6.0,-17.0,-26.0,-28.0,-27.0,-40.0,-57.0,-46.0,-41.0,-38.0,-43.0,-42.0,-47.0,-47.0,-34.0,-39.0,-32.0,-37.0,-38.0,-41.0,-41.0,-40.0,-36.0,-39.0,-39.0,-38.0,-38.0
17093,4.0,7.0,11.0,0.0,0.0,2.0,1.0,11.0,9.0,3.0,-4.0,-1.0,6.0,5.0,12.0,14.0,8.0,10.0,13.0,10.0,8.0,17.0,17.0,3.0,13.0,12.0,21.0,19.0,0.0,1.0,5.0,-6.0,-17.0,-17.0,-18.0,-35.0,-59.0,-42.0,-35.0,-32.0,-35.0,-38.0,-43.0,-46.0,-29.0,-29.0,-24.0,-25.0,-30.0,-36.0,-37.0,-29.0,-26.0,-29.0,-29.0,-27.0,-31.0
01073,4.0,2.0,3.0,-9.0,1.0,-7.0,0.0,3.0,-2.0,-6.0,5.0,11.0,11.0,10.0,14.0,12.0,4.0,19.0,3.0,4.0,9.0,13.0,9.0,9.0,6.0,6.0,8.0,0.0,-3.0,-16.0,-8.0,-22.0,-25.0,-28.0,-35.0,-44.0,-49.0,-43.0,-39.0,-39.0,-40.0,-42.0,-46.0,-48.0,-38.0,-41.0,-32.0,-37.0,-36.0,-46.0,-56.0,-43.0,-46.0,-42.0,-41.0,-41.0,-45.0
26161,12.0,21.0,8.0,2.0,5.0,4.0,4.0,18.0,15.0,4.0,3.0,-21.0,1.0,2.0,14.0,11.0,8.0,5.0,4.0,10.0,0.0,16.0,19.0,7.0,9.0,7.0,5.0,-6.0,-17.0,-20.0,-25.0,-39.0,-44.0,-45.0,-47.0,-51.0,-55.0,-42.0,-67.0,-62.0,-64.0,-65.0,-68.0,-65.0,-62.0,-63.0,-62.0,-60.0,-62.0,-66.0,-63.0,-61.0,-64.0,-60.0,-63.0,-66.0,-63.0
