FIPS,Province_State,Combined_Key,Lat,Long_,Population,METRO,pop500,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,ACCESS2,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,nhosp,nhosp999,totalbeds,estbeds,popage65_older%2018,popblack%2018,pophispanic%2018
17031,Illinois,"Cook, Illinois, US",41.84144849,-87.81658794,5150233,"Chicago, Elgin, Palatine, Cicero, Evanston, Schaumburg, Arlington Heights",3095892,11.4,30.7,9.6,23.7,5.4,1.5,11.6,26.7,87.1,24.3,10.0,61.7,1.2,19.0,23.0,26.8,69.0,18.8,25.0,5.2,55.0,3.0,16621.0,17237.0,14.6,23.3,25.5
17031,Illinois,"Cook, Illinois, US",41.84144849,-87.81658794,5150233,"Chicago, Elgin, Palatine, Cicero, Evanston, Schaumburg, Arlington Heights",3095892,11.4,30.7,9.6,23.7,5.4,1.5,11.6,26.7,87.1,24.3,10.0,61.7,1.2,19.0,23.0,26.8,69.0,18.8,25.0,5.2,55.0,3.0,16621.0,17237.0,14.6,23.3,25.5
17115,Illinois,"Macon, Illinois, US",39.86064913,-88.96342505,104009,Decatur,76122,10.4,36.3,11.4,37.4,7.4,3.7,14.5,21.0,81.9,12.1,7.5,70.1,3.4,17.1,27.8,29.5,76.8,14.1,37.0,8.7,2.0,1.0,188.0,393.0,20.2,16.8,2.3
17115,Illinois,"Macon, Illinois, US",39.86064913,-88.96342505,104009,Decatur,76122,10.4,36.3,11.4,37.4,7.4,3.7,14.5,21.0,81.9,12.1,7.5,70.1,3.4,17.1,27.8,29.5,76.8,14.1,37.0,8.7,2.0,1.0,188.0,393.0,20.2,16.8,2.3
17197,Illinois,"Will, Illinois, US",41.44619267,-87.97862712,690743,"Joliet, Naperville, Bolingbrook, Aurora",268270,8.2,30.2,8.4,33.3,8.7,2.1,12.5,17.5,73.1,12.9,3.0,70.4,1.8,19.4,22.7,17.4,67.1,10.2,25.5,3.3,4.0,1.0,917.0,1122.0,13.1,11.0,17.8
17197,Illinois,"Will, Illinois, US",41.44619267,-87.97862712,690743,"Joliet, Naperville, Bolingbrook, Aurora",268270,8.2,30.2,8.4,33.3,8.7,2.1,12.5,17.5,73.1,12.9,3.0,70.4,1.8,19.4,22.7,17.4,67.1,10.2,25.5,3.3,4.0,1.0,917.0,1122.0,13.1,11.0,17.8
17143,Illinois,"Peoria, Illinois, US",40.78702156,-89.76078901,179179,"Peoria, Cicero",282789,8.4,30.4,11.4,35.1,5.2,3.1,14.4,19.2,80.4,32.2,6.3,65.3,3.1,19.3,34.1,21.5,64.3,14.1,31.7,7.0,3.0,0.0,1072.0,1072.0,16.7,17.2,4.9
17143,Illinois,"Peoria, Illinois, US",40.78702156,-89.76078901,179179,"Peoria, Cicero",282789,8.4,30.4,11.4,35.1,5.2,3.1,14.4,19.2,80.4,32.2,6.3,65.3,3.1,19.3,34.1,21.5,64.3,14.1,31.7,7.0,3.0,0.0,1072.0,1072.0,16.7,17.2,4.9
17089,Illinois,"Kane, Illinois, US",41.93842729,-88.42861412,532403,"Elgin, Aurora",215132,9.2,30.3,10.9,34.0,5.0,2.8,14.6,19.8,78.6,22.5,5.2,65.0,2.9,19.6,28.1,20.7,68.1,13.2,28.8,6.5,5.0,0.0,1101.0,1101.0,13.7,5.5,32.2
17089,Illinois,"Kane, Illinois, US",41.93842729,-88.42861412,532403,"Elgin, Aurora",215132,9.2,30.3,10.9,34.0,5.0,2.8,14.6,19.8,78.6,22.5,5.2,65.0,2.9,19.6,28.1,20.7,68.1,13.2,28.8,6.5,5.0,0.0,1101.0,1101.0,13.7,5.5,32.2
17043,Illinois,"DuPage, Illinois, US",41.85116968,-88.08642662,922921,"Naperville, Aurora, Bolingbrook",145537,8.1,31.9,7.3,27.1,5.7,1.8,9.6,12.3,85.3,7.8,3.8,68.6,2.1,20.1,16.7,19.2,69.2,8.2,26.6,4.2,6.0,0.0,1752.0,1752.0,15.5,4.5,14.5
17043,Illinois,"DuPage, Illinois, US",41.85116968,-88.08642662,922921,"Naperville, Aurora, Bolingbrook",145537,8.1,31.9,7.3,27.1,5.7,1.8,9.6,12.3,85.3,7.8,3.8,68.6,2.1,20.1,16.7,19.2,69.2,8.2,26.6,4.2,6.0,0.0,1752.0,1752.0,15.5,4.5,14.5
17201,Illinois,"Winnebago, Illinois, US",42.33641854,-89.16085327,282572,Rockford,152871,10.0,35.1,11.6,35.0,6.3,3.7,15.2,22.4,80.1,15.8,7.0,68.5,3.4,18.1,31.4,25.7,73.2,15.1,36.3,8.8,3.0,0.0,857.0,857.0,17.4,12.9,13.1
17201,Illinois,"Winnebago, Illinois, US",42.33641854,-89.16085327,282572,Rockford,152871,10.0,35.1,11.6,35.0,6.3,3.7,15.2,22.4,80.1,15.8,7.0,68.5,3.4,18.1,31.4,25.7,73.2,15.1,36.3,8.8,3.0,0.0,857.0,857.0,17.4,12.9,13.1
17093,Illinois,"Kendall, Illinois, US",41.59081014,-88.42869583,128990,"Joliet, Aurora",15768,9.0,24.7,6.1,33.5,3.8,1.6,12.0,17.9,80.5,12.5,2.8,64.2,1.8,24.6,22.2,16.1,59.7,8.7,22.6,4.1,0.0,0.0,0.0,0.0,10.5,6.7,19.5
17093,Illinois,"Kendall, Illinois, US",41.59081014,-88.42869583,128990,"Joliet, Aurora",15768,9.0,24.7,6.1,33.5,3.8,1.6,12.0,17.9,80.5,12.5,2.8,64.2,1.8,24.6,22.2,16.1,59.7,8.7,22.6,4.1,0.0,0.0,0.0,0.0,10.5,6.7,19.5
01073,Alabama,"Jefferson, Alabama, US",33.55554728,-86.895063,658573,"Birmingham, Hoover",269191,13.6,20.2,7.3,31.6,4.1,1.9,24.1,10.9,74.4,20.6,3.1,80.1,2.1,18.4,47.5,38.3,79.0,8.8,21.9,13.0,11.0,1.0,4400.0,4570.0,15.9,42.9,4.0
01073,Alabama,"Jefferson, Alabama, US",33.55554728,-86.89506300000002,658573,"Birmingham, Hoover",269191,13.6,20.2,7.3,31.6,4.1,1.9,24.1,10.9,74.4,20.6,3.1,80.1,2.1,18.4,47.5,38.3,79.0,8.8,21.9,13.0,11.0,1.0,4400.0,4570.0,15.9,42.9,4.0
26161,Michigan,"Washtenaw, Michigan, US",42.253105,-83.83853204,367601,Ann Arbor,113934,9.3,28.3,6.4,25.9,5.4,1.9,11.0,11.1,78.0,7.2,3.9,67.2,2.2,19.9,16.8,21.0,71.1,8.5,22.2,4.1,6.0,2.0,1683.0,2132.0,14.0,11.5,4.8
26161,Michigan,"Washtenaw, Michigan, US",42.253105,-83.83853204,367601,Ann Arbor,113934,9.3,28.3,6.4,25.9,5.4,1.9,11.0,11.1,78.0,7.2,3.9,67.2,2.2,19.9,16.8,21.0,71.1,8.5,22.2,4.1,6.0,2.0,1683.0,2132.0,14.0,11.5,4.8
26163,Michigan,"Wayne, Michigan, US",42.28098405,-83.281255,1749343,"Detroit, Dearborn, Livonia, Westland",992966,14.9,32.8,9.1,25.0,5.1,8.7,17.0,31.6,77.2,6.4,10.8,69.6,2.7,12.6,20.4,34.5,70.2,20.3,34.7,12.5,17.0,1.0,5269.0,5493.0,15.4,38.5,6.1
26163,Michigan,"Wayne, Michigan, US",42.28098405,-83.281255,1749343,"Detroit, Dearborn, Livonia, Westland",992966,14.9,32.8,9.1,25.0,5.1,8.7,17.0,31.6,77.2,6.4,10.8,69.6,2.7,12.6,20.4,34.5,70.2,20.3,34.7,12.5,17.0,1.0,5269.0,5493.0,15.4,38.5,6.1
36029,New York,"Erie, New York, US",42.76249024,-78.73063652,918702,Buffalo,261310,11.9,31.5,13.0,36.0,5.9,3.9,16.9,24.3,79.6,14.7,7.2,73.8,3.6,18.7,36.7,27.6,73.9,16.3,35.2,8.4,12.0,2.0,2500.0,3112.0,18.0,13.2,5.7
36029,New York,"Erie, New York, US",42.76249024,-78.73063652,918702,Buffalo,261310,11.9,31.5,13.0,36.0,5.9,3.9,16.9,24.3,79.6,14.7,7.2,73.8,3.6,18.7,36.7,27.6,73.9,16.3,35.2,8.4,12.0,2.0,2500.0,3112.0,18.0,13.2,5.7
01117,Alabama,"Shelby, Alabama, US",33.26879845,-86.66232561,217702,"Hoover, Birmingham",24665,8.9,38.2,9.4,30.2,8.0,2.4,10.3,11.8,88.1,8.1,5.6,75.2,2.6,14.0,23.0,30.2,79.2,10.5,37.7,5.8,1.0,0.0,252.0,252.0,15.4,12.6,5.8
01117,Alabama,"Shelby, Alabama, US",33.26879845,-86.66232561,217702,"Hoover, Birmingham",24665,8.9,38.2,9.4,30.2,8.0,2.4,10.3,11.8,88.1,8.1,5.6,75.2,2.6,14.0,23.0,30.2,79.2,10.5,37.7,5.8,1.0,0.0,252.0,252.0,15.4,12.6,5.8
25027,Massachusetts,"Worcester, Massachusetts, US",42.35026951,-71.90493363,830622,Worcester,181045,11.5,31.3,9.5,29.9,5.9,3.0,15.2,18.9,76.9,10.8,5.4,75.8,2.9,19.5,28.1,25.1,73.8,13.5,29.3,6.7,10.0,0.0,1708.0,1708.0,15.6,5.3,11.9
