FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
17031,3.0,2.0,-15.0,2.0,1.0,0.0,3.0,10.0,6.0,1.0,-3.0,-2.0,1.0,5.0,9.0,9.0,-1.0,0.0,2.0,0.0,0.0,11.0,7.0,-6.0,-4.0,-5.0,-8.0,-11.0,-11.0,-19.0,-33.0,-39.0,-48.0,-52.0,-50.0,-48.0,-62.0,-64.0,-62.0,-59.0,-64.0,-62.0,-58.0,-63.0,-63.0,-63.0,-60.0,-62.0,-58.0,-56.0,-61.0,-63.0,-60.0,-63.0,-64.0,-62.0,-53.0
17115,2.0,NAN,-5.0,0.0,6.0,7.0,5.0,10.0,NAN,14.0,10.0,7.0,17.0,13.0,8.0,NAN,14.0,18.0,2.0,14.0,23.0,22.0,NAN,4.0,18.0,5.0,15.0,0.0,-8.0,NAN,-1.0,7.0,-13.0,-17.0,-8.0,-25.0,-20.0,-14.0,-17.0,-17.0,-8.0,-22.0,-27.0,-20.0,-19.0,-19.0,-13.0,-15.0,-18.0,-22.0,-11.0,-20.0,-4.0,-7.0,-3.0,-22.0,-29.0
17197,7.0,5.0,-6.0,2.0,2.0,1.0,3.0,9.0,11.0,2.0,-1.0,-3.0,3.0,2.0,8.0,16.0,1.0,-1.0,0.0,-1.0,5.0,7.0,12.0,-3.0,-6.0,-4.0,-5.0,-5.0,-3.0,-5.0,-15.0,-18.0,-27.0,-27.0,-24.0,-24.0,-31.0,-34.0,-33.0,-28.0,-33.0,-32.0,-28.0,-28.0,-30.0,-33.0,-31.0,-28.0,-29.0,-27.0,-25.0,-28.0,-29.0,-28.0,-27.0,-31.0,-21.0
17143,1.0,-2.0,-11.0,15.0,10.0,5.0,2.0,14.0,1.0,-4.0,7.0,12.0,8.0,9.0,16.0,15.0,9.0,13.0,15.0,11.0,9.0,31.0,18.0,-2.0,15.0,8.0,5.0,5.0,-6.0,-13.0,-13.0,-3.0,-14.0,-23.0,-27.0,-27.0,-52.0,-45.0,-31.0,-33.0,-36.0,-39.0,-40.0,-45.0,-31.0,-31.0,-21.0,-27.0,-30.0,-35.0,-32.0,-32.0,-20.0,-27.0,-38.0,-32.0,-24.0
17089,5.0,4.0,-16.0,-2.0,2.0,5.0,1.0,9.0,14.0,1.0,-3.0,0.0,3.0,0.0,13.0,23.0,6.0,3.0,6.0,-1.0,6.0,12.0,20.0,-5.0,2.0,1.0,-5.0,-5.0,-9.0,-10.0,-29.0,-28.0,-38.0,-39.0,-39.0,-42.0,-49.0,-49.0,-49.0,-46.0,-46.0,-50.0,-50.0,-46.0,-44.0,-47.0,-47.0,-41.0,-41.0,-44.0,-34.0,-45.0,-41.0,-40.0,-43.0,-43.0,-27.0
17043,1.0,7.0,-23.0,1.0,3.0,1.0,4.0,9.0,13.0,3.0,2.0,-1.0,0.0,-2.0,4.0,12.0,-5.0,-4.0,-5.0,-6.0,1.0,17.0,18.0,-2.0,-3.0,-6.0,-13.0,-14.0,-1.0,-4.0,-43.0,-48.0,-54.0,-58.0,-53.0,-44.0,-56.0,-68.0,-67.0,-65.0,-69.0,-64.0,-52.0,-51.0,-64.0,-65.0,-62.0,-62.0,-56.0,-46.0,-35.0,-61.0,-59.0,-62.0,-65.0,-59.0,-33.0
17201,2.0,2.0,-3.0,7.0,9.0,2.0,0.0,-3.0,4.0,0.0,-1.0,5.0,6.0,2.0,6.0,4.0,-1.0,7.0,8.0,3.0,5.0,8.0,9.0,-3.0,6.0,7.0,4.0,-2.0,2.0,-2.0,-7.0,1.0,-4.0,-11.0,-17.0,-22.0,-35.0,-24.0,-19.0,-20.0,-22.0,-28.0,-31.0,-40.0,-20.0,-12.0,-12.0,-20.0,-25.0,-27.0,-35.0,-24.0,-12.0,-17.0,-20.0,-30.0,-31.0
17093,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
01073,3.0,-2.0,-3.0,0.0,-1.0,-4.0,2.0,4.0,5.0,-7.0,6.0,3.0,4.0,6.0,7.0,7.0,-4.0,1.0,-5.0,-3.0,2.0,9.0,12.0,-2.0,-1.0,-3.0,-3.0,-6.0,4.0,-11.0,-13.0,-14.0,-17.0,-24.0,-29.0,-28.0,-37.0,-41.0,-32.0,-32.0,-33.0,-36.0,-32.0,-43.0,-39.0,-37.0,-31.0,-34.0,-35.0,-35.0,-46.0,-39.0,-41.0,-37.0,-40.0,-44.0,-35.0
26161,6.0,8.0,-2.0,0.0,1.0,4.0,5.0,19.0,21.0,0.0,-2.0,-10.0,1.0,5.0,10.0,1.0,-9.0,-5.0,-8.0,-4.0,-5.0,17.0,24.0,1.0,-4.0,-1.0,-12.0,-14.0,-13.0,-11.0,-28.0,-30.0,-39.0,-39.0,-42.0,-29.0,-39.0,-44.0,-54.0,-53.0,-56.0,-57.0,-53.0,-49.0,-57.0,-56.0,-57.0,-55.0,-53.0,-50.0,-43.0,-56.0,-58.0,-56.0,-61.0,-63.0,-46.0
26163,6.0,2.0,-1.0,6.0,6.0,9.0,13.0,20.0,23.0,10.0,7.0,4.0,10.0,22.0,41.0,31.0,7.0,10.0,10.0,11.0,8.0,10.0,9.0,4.0,4.0,3.0,1.0,-5.0,-8.0,-13.0,-21.0,-24.0,-29.0,-36.0,-37.0,-37.0,-48.0,-47.0,-56.0,-51.0,-57.0,-57.0,-60.0,-61.0,-60.0,-58.0,-54.0,-53.0,-53.0,-57.0,-60.0,-59.0,-61.0,-52.0,-62.0,-61.0,-55.0
36029,1.0,5.0,-8.0,-5.0,-2.0,-4.0,-6.0,3.0,12.0,2.0,1.0,4.0,-19.0,-3.0,1.0,12.0,-1.0,1.0,1.0,9.0,0.0,5.0,12.0,5.0,-4.0,2.0,4.0,-6.0,-6.0,-9.0,-19.0,-24.0,-29.0,-32.0,-39.0,-38.0,-44.0,-54.0,-49.0,-46.0,-47.0,-47.0,-54.0,-49.0,-56.0,-52.0,-45.0,-48.0,-52.0,-48.0,-52.0,-51.0,-47.0,-47.0,-52.0,-56.0,-44.0
