FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
17031,2.0,1.0,-24.0,1.0,1.0,2.0,3.0,6.0,3.0,2.0,1.0,-2.0,2.0,1.0,5.0,3.0,-2.0,1.0,1.0,2.0,2.0,6.0,2.0,-1.0,0.0,-1.0,-2.0,-5.0,-1.0,-8.0,-23.0,-36.0,-40.0,-42.0,-43.0,-30.0,-43.0,-55.0,-55.0,-55.0,-56.0,-55.0,-40.0,-45.0,-56.0,-57.0,-57.0,-57.0,-56.0,-41.0,-45.0,-57.0,-58.0,-58.0,-59.0,-62.0,-43.0
17115,-1.0,0.0,-18.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,-2.0,3.0,2.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,-5.0,-6.0,-6.0,-5.0,-5.0,-5.0,-7.0,-12.0,-22.0,-25.0,-27.0,-28.0,-20.0,-33.0,-35.0,-39.0,-38.0,-38.0,-39.0,-28.0,-30.0,-37.0,-40.0,-39.0,-38.0,-39.0,-27.0,-31.0,-39.0,-40.0,-40.0,-41.0,-48.0,-29.0
17197,1.0,2.0,-24.0,0.0,1.0,2.0,3.0,5.0,5.0,4.0,1.0,-1.0,1.0,-1.0,5.0,6.0,-5.0,1.0,2.0,2.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,-2.0,1.0,-4.0,-13.0,-31.0,-34.0,-36.0,-37.0,-22.0,-34.0,-49.0,-50.0,-49.0,-50.0,-49.0,-34.0,-36.0,-50.0,-52.0,-52.0,-52.0,-51.0,-35.0,-38.0,-51.0,-53.0,-53.0,-53.0,-57.0,-37.0
17143,5.0,3.0,-15.0,1.0,2.0,3.0,2.0,9.0,5.0,2.0,0.0,-2.0,2.0,1.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,9.0,6.0,1.0,0.0,2.0,1.0,-1.0,2.0,-4.0,-14.0,-27.0,-30.0,-32.0,-35.0,-20.0,-36.0,-45.0,-46.0,-46.0,-46.0,-46.0,-30.0,-35.0,-45.0,-46.0,-46.0,-46.0,-46.0,-29.0,-35.0,-46.0,-47.0,-48.0,-48.0,-54.0,-32.0
17089,3.0,3.0,-21.0,1.0,1.0,2.0,3.0,6.0,4.0,3.0,0.0,0.0,2.0,-9.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,8.0,3.0,1.0,1.0,0.0,0.0,-1.0,2.0,-5.0,-20.0,-29.0,-33.0,-35.0,-35.0,-22.0,-38.0,-48.0,-49.0,-49.0,-49.0,-48.0,-33.0,-39.0,-49.0,-50.0,-51.0,-50.0,-50.0,-35.0,-39.0,-50.0,-51.0,-51.0,-52.0,-60.0,-40.0
17043,4.0,2.0,-22.0,1.0,1.0,2.0,2.0,8.0,4.0,3.0,1.0,-1.0,1.0,-8.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,-1.0,-2.0,-4.0,0.0,-10.0,-25.0,-36.0,-40.0,-43.0,-43.0,-28.0,-43.0,-56.0,-57.0,-57.0,-57.0,-56.0,-40.0,-45.0,-58.0,-59.0,-59.0,-59.0,-58.0,-42.0,-44.0,-58.0,-59.0,-59.0,-59.0,-64.0,-43.0
17201,1.0,-2.0,-17.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,-4.0,-16.0,-22.0,-26.0,-29.0,-29.0,-22.0,-33.0,-41.0,-41.0,-42.0,-42.0,-43.0,-30.0,-36.0,-41.0,-42.0,-42.0,-43.0,-43.0,-30.0,-33.0,-42.0,-43.0,-43.0,-45.0,-54.0,-36.0
17093,2.0,3.0,-24.0,1.0,3.0,2.0,2.0,6.0,3.0,5.0,-1.0,0.0,1.0,-3.0,7.0,5.0,4.0,0.0,2.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,-2.0,1.0,-4.0,-20.0,-33.0,-37.0,-39.0,-41.0,-24.0,-37.0,-52.0,-54.0,-54.0,-54.0,-53.0,-35.0,-38.0,-52.0,-54.0,-54.0,-54.0,-54.0,-34.0,-39.0,-53.0,-55.0,-55.0,-55.0,-59.0,-39.0
01073,2.0,-1.0,-14.0,-1.0,1.0,-1.0,1.0,6.0,-1.0,-1.0,3.0,1.0,2.0,1.0,7.0,2.0,0.0,2.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,-2.0,3.0,-7.0,-16.0,-25.0,-31.0,-33.0,-36.0,-23.0,-34.0,-42.0,-43.0,-44.0,-44.0,-45.0,-29.0,-36.0,-44.0,-46.0,-46.0,-45.0,-45.0,-31.0,-42.0,-46.0,-48.0,-48.0,-48.0,-52.0,-32.0
26161,3.0,3.0,-13.0,-1.0,1.0,1.0,2.0,7.0,5.0,-1.0,-2.0,-21.0,-15.0,-1.0,-1.0,-3.0,-5.0,-5.0,-5.0,-4.0,-4.0,3.0,2.0,0.0,-5.0,-2.0,-8.0,-12.0,-5.0,-13.0,-37.0,-45.0,-49.0,-51.0,-53.0,-36.0,-42.0,-59.0,-70.0,-70.0,-70.0,-70.0,-53.0,-53.0,-72.0,-73.0,-73.0,-73.0,-72.0,-53.0,-54.0,-73.0,-74.0,-74.0,-74.0,-74.0,-53.0
