FIPS,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020
01073,2.0,-1.0,-14.0,-1.0,1.0,-1.0,1.0,6.0,-1.0,-1.0,3.0,1.0,2.0,1.0,7.0,2.0,0.0,2.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,-2.0,3.0,-7.0,-16.0,-25.0,-31.0,-33.0,-36.0,-23.0,-34.0,-42.0,-43.0,-44.0,-44.0,-45.0,-29.0,-36.0,-44.0,-46.0,-46.0,-45.0,-45.0,-31.0,-42.0,-46.0,-48.0,-48.0,-48.0,-52.0,-32.0,-50.0,-46.0,-45.0,-45.0,-44.0,-45.0,-27.0,-43.0,-44.0,-44.0,-45.0,-46.0,-44.0,-26.0,-35.0
01097,2.0,-4.0,-2.0,2.0,2.0,-2.0,0.0,4.0,2.0,-23.0,-37.0,-12.0,-8.0,-7.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,-6.0,1.0,0.0,-4.0,-10.0,-17.0,-24.0,-26.0,-14.0,-23.0,-28.0,-29.0,-31.0,-32.0,-32.0,-21.0,-29.0,-34.0,-36.0,-36.0,-37.0,-37.0,-24.0,-33.0,-37.0,-38.0,-39.0,-40.0,-45.0,-28.0,-42.0,-38.0,-37.0,-37.0,-37.0,-37.0,-24.0,-31.0,-36.0,-36.0,-37.0,-42.0,-36.0,-22.0,-29.0
04013,-1.0,0.0,-28.0,1.0,1.0,2.0,2.0,-4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,-9.0,-10.0,-12.0,-14.0,-14.0,-2.0,-4.0,-20.0,-26.0,-32.0,-34.0,-35.0,-23.0,-29.0,-39.0,-42.0,-43.0,-44.0,-43.0,-29.0,-33.0,-45.0,-47.0,-49.0,-49.0,-48.0,-35.0,-38.0,-49.0,-50.0,-51.0,-51.0,-52.0,-37.0,-42.0,-49.0,-49.0,-49.0,-49.0,-48.0,-33.0,-35.0,-48.0,-49.0,-49.0,-49.0,-48.0,-33.0,-35.0
04019,0.0,-1.0,-10.0,3.0,0.0,-16.0,-15.0,-4.0,-1.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,-2.0,0.0,0.0,-2.0,-4.0,-9.0,-2.0,-6.0,-21.0,-24.0,-31.0,-33.0,-34.0,-24.0,-30.0,-36.0,-38.0,-40.0,-42.0,-42.0,-32.0,-36.0,-42.0,-43.0,-47.0,-47.0,-46.0,-36.0,-39.0,-46.0,-47.0,-49.0,-49.0,-51.0,-39.0,-42.0,-47.0,-46.0,-46.0,-47.0,-46.0,-34.0,-37.0,-45.0,-46.0,-46.0,-46.0,-46.0,-34.0,-37.0
06001,0.0,1.0,-53.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,-1.0,0.0,1.0,1.0,-6.0,-9.0,-12.0,-16.0,-17.0,-8.0,-11.0,-36.0,-59.0,-60.0,-61.0,-59.0,-39.0,-40.0,-63.0,-65.0,-64.0,-64.0,-62.0,-44.0,-44.0,-64.0,-66.0,-65.0,-66.0,-64.0,-47.0,-49.0,-67.0,-66.0,-66.0,-67.0,-65.0,-45.0,-46.0,-65.0,-65.0,-64.0,-65.0,-62.0,-40.0,-41.0,-64.0,-64.0,-64.0,-64.0,-61.0,-39.0,-40.0
06013,-2.0,0.0,-48.0,-2.0,0.0,-1.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,-1.0,2.0,0.0,-2.0,-4.0,-6.0,-9.0,-8.0,-10.0,-29.0,-50.0,-52.0,-52.0,-51.0,-36.0,-37.0,-54.0,-56.0,-56.0,-56.0,-55.0,-42.0,-41.0,-56.0,-57.0,-57.0,-58.0,-56.0,-43.0,-44.0,-59.0,-59.0,-59.0,-60.0,-59.0,-43.0,-43.0,-57.0,-57.0,-57.0,-57.0,-55.0,-37.0,-37.0,-56.0,-56.0,-56.0,-57.0,-54.0,-37.0,-36.0
06029,-5.0,-2.0,-36.0,1.0,2.0,1.0,3.0,-2.0,-1.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,-1.0,0.0,-4.0,-10.0,-26.0,-29.0,-33.0,-21.0,-25.0,-39.0,-42.0,-43.0,-43.0,-39.0,-25.0,-30.0,-41.0,-44.0,-43.0,-44.0,-42.0,-27.0,-32.0,-46.0,-46.0,-49.0,-49.0,-47.0,-29.0,-32.0,-44.0,-44.0,-43.0,-43.0,-40.0,-24.0,-26.0,-41.0,-43.0,-43.0,-43.0,-40.0,-22.0,-26.0
06037,-1.0,0.0,-32.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,-2.0,0.0,-3.0,-7.0,-7.0,-9.0,-22.0,-29.0,-33.0,-35.0,-41.0,-34.0,-38.0,-47.0,-49.0,-49.0,-50.0,-49.0,-39.0,-41.0,-51.0,-51.0,-52.0,-52.0,-51.0,-41.0,-43.0,-54.0,-54.0,-55.0,-57.0,-57.0,-43.0,-46.0,-51.0,-51.0,-51.0,-51.0,-50.0,-38.0,-39.0,-49.0,-50.0,-50.0,-51.0,-49.0,-37.0,-39.0
06059,0.0,0.0,-33.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,4.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,-1.0,1.0,-3.0,-5.0,-5.0,-10.0,-20.0,-28.0,-37.0,-40.0,-44.0,-36.0,-41.0,-50.0,-51.0,-51.0,-52.0,-51.0,-39.0,-44.0,-51.0,-53.0,-53.0,-53.0,-52.0,-42.0,-46.0,-56.0,-55.0,-55.0,-57.0,-58.0,-43.0,-49.0,-53.0,-52.0,-52.0,-52.0,-51.0,-39.0,-41.0,-51.0,-51.0,-52.0,-52.0,-50.0,-37.0,-41.0
06065,-2.0,-1.0,-32.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,2.0,2.0,2.0,3.0,2.0,0.0,5.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,-3.0,0.0,-3.0,-4.0,-5.0,-7.0,-19.0,-26.0,-31.0,-34.0,-38.0,-31.0,-35.0,-42.0,-44.0,-44.0,-45.0,-44.0,-35.0,-39.0,-44.0,-46.0,-46.0,-47.0,-46.0,-37.0,-41.0,-48.0,-50.0,-51.0,-51.0,-54.0,-39.0,-46.0,-46.0,-47.0,-46.0,-46.0,-45.0,-35.0,-37.0,-44.0,-45.0,-45.0,-46.0,-45.0,-33.0,-36.0
